METEOROLOGICAL	DATA	-	CHACALTAYA	GAW	STATION	16	21	S,	68	8	W,	5380	masl,	Bolivia						
Please	cite	the	SENAMHI	(Servicio	Nacional	de	Meteorologia	e	Hidrologia,	Bolivia)	and	the	LFA	(Laboratorio	de	Fisica	de	la	Atm??sfera)	UMSA
Contact	:	Marcos	Andrade	-	mandrade	AT	atmos.umd.edu,	Isabel	Moreno	-	caisa.moreno	AT	chacaltaya.edu.bo							
File	version	5																		
																				
Local	Time	(UTC-4)																		
WS	=	Horizontal	wind	speed	(m/s)															
WD	=	Horizontal	wind	direction	(Deg)															
WDstdv	=	Standard	deviation	of	horizontal	wind	direction	(Deg)												
Tair	=	Avg	Air	temperature	(Deg	C)														
RH	=	Avg	Relative	humidity(%)																
Pbar	=	Smp	Barometric	pressure	(mbar)															
																				
Missing/bad	data	filled	with	-999.9																
																				
	YYYY	MM	DD	HH	mm	WS	WD	WDstdv	Tair	RH	Pbar									
	2018	1	31	10	0	0.87	286.4	26.3	-0.18	99.70	534.7									
	2018	1	31	10	15	1.12	295.4	31.3	-0.18	99.60	534.7									
	2018	1	31	10	30	0.99	354.8	30.0	-0.20	99.60	534.7									
	2018	1	31	10	45	1.12	331.7	41.9	-0.08	98.60	534.7									
	2018	1	31	11	0	0.99	311.8	25.0	0.34	97.60	535.0									
	2018	1	31	11	15	2.43	273.1	18.4	0.59	97.10	535.0									
	2018	1	31	11	30	1.37	279.0	30.4	0.79	96.90	535.0									
	2018	1	31	11	45	1.28	238.8	16.8	1.17	94.90	535.0									
	2018	1	31	12	0	1.19	249.7	36.2	1.10	95.20	534.8									
	2018	1	31	12	15	0.84	250.0	37.6	1.45	96.20	534.8									
	2018	1	31	12	30	1.12	299.0	30.7	1.25	97.40	534.8									
	2018	1	31	12	45	1.98	296.3	25.1	1.28	97.70	534.8									
	2018	1	31	13	0	2.44	283.4	20.3	1.41	98.30	534.6									
	2018	1	31	13	15	1.83	280.0	27.8	1.01	99.60	534.6									
	2018	1	31	13	30	2.23	332.1	20.7	0.98	100.00	534.6									
	2018	1	31	13	45	2.98	334.1	13.5	0.18	100.00	534.6									
	2018	1	31	14	0	2.58	301.8	21.6	0.01	100.00	534.4									
	2018	1	31	14	15	4.07	278.3	15.4	-0.44	100.00	534.4									
	2018	1	31	14	30	5.40	261.1	16.9	-0.75	98.80	534.4									
	2018	1	31	14	45	4.49	246.7	13.7	-0.58	97.10	534.4									
	2018	1	31	15	0	5.88	249.9	14.9	-0.54	98.30	533.8									
	2018	1	31	15	15	2.79	288.2	38.4	-0.17	98.00	533.8									
	2018	1	31	15	30	2.29	348.6	27.2	0.32	98.20	533.8									
	2018	1	31	15	45	1.66	315.1	33.5	0.36	97.70	533.8									
	2018	1	31	16	0	3.04	275.5	12.8	0.78	94.50	533.5									
	2018	1	31	16	15	4.40	258.1	11.1	0.79	95.00	533.5									
	2018	1	31	16	30	3.39	259.8	26.8	0.84	94.50	533.5									
	2018	1	31	16	45	4.30	268.9	10.9	1.01	93.60	533.5									
	2018	1	31	17	0	3.73	276.9	11.4	1.82	91.80	533.5									
	2018	1	31	17	15	3.32	276.0	26.6	1.68	95.40	533.5									
	2018	1	31	17	30	2.72	287.5	12.8	1.19	97.70	533.5									
	2018	1	31	17	45	1.66	273.4	23.9	1.03	98.30	533.5									
	2018	1	31	18	0	1.97	253.6	17.5	1.72	93.30	533.5									
	2018	1	31	18	15	3.52	238.7	16.5	1.75	87.90	533.5									
	2018	1	31	18	30	3.48	235.6	14.0	1.63	89.90	533.5									
	2018	1	31	18	45	3.24	238.0	8.3	1.43	89.60	533.5									
	2018	1	31	19	0	6.17	219.0	10.1	-0.28	98.10	533.7									
	2018	1	31	19	15	6.43	211.1	8.9	-0.78	99.80	533.7									
	2018	1	31	19	30	5.67	233.1	14.1	-0.69	99.10	533.7									
	2018	1	31	19	45	4.18	235.6	13.7	-0.62	97.10	533.7									
